ticker,date,acquirer,relation,direction,value_lakhs
HINDUNILVR,2022-01-01,Entity_928,Director,Sell,2312.41
CIPLA,2022-01-02,Entity_591,KMP,Sell,726.67
INFY,2022-01-02,Entity_792,Promoter,Sell,210.15
TATAMOTORS,2022-01-03,Entity_238,Promoter,Sell,147.65
RELIANCE,2022-01-03,Entity_811,Promoter,Sell,1105.37
TATAMOTORS,2022-01-03,Entity_812,FII,Buy,349.59
BIOCON,2022-01-04,Entity_371,Promoter,Sell,86.01
HINDUNILVR,2022-01-04,Entity_472,Promoter,Buy,696.27
INDUSINDBK,2022-01-04,Entity_385,Director,Buy,507.84
M&M,2022-01-05,Entity_648,Promoter,Sell,157.53
BANDHANBNK,2022-01-05,Entity_714,KMP,Buy,11765.52
ADANIGREEN,2022-01-06,Entity_974,Promoter,Sell,278.46
CHOLAFIN,2022-01-07,Entity_453,Institutional,Sell,226.8
CHOLAFIN,2022-01-07,Entity_422,Promoter,Buy,238.12
TCS,2022-01-07,Entity_298,DII,Buy,4251.57
TECHM,2022-01-08,Entity_997,KMP,Sell,148.06
SUNPHARMA,2022-01-08,Entity_665,Director,Sell,3063.19
SUNPHARMA,2022-01-09,Entity_740,DII,Sell,201.37
NTPC,2022-01-10,Entity_775,Promoter,Sell,1758.94
BAJAJFINSV,2022-01-10,Entity_127,Promoter,Sell,2.65
NTPC,2022-01-11,Entity_811,Institutional,Sell,769.35
PIDILITIND,2022-01-12,Entity_158,KMP,Buy,33.95
HDFCBANK,2022-01-12,Entity_800,Promoter,Sell,434.02
CHOLAFIN,2022-01-12,Entity_104,Promoter,Buy,101.11
FEDERALBNK,2022-01-13,Entity_553,FII,Sell,35.67
LUPIN,2022-01-13,Entity_787,Director,Sell,569.28
WIPRO,2022-01-14,Entity_584,FII,Sell,20.93
ADANIPORTS,2022-01-15,Entity_419,FII,Buy,1367.95
DRREDDY,2022-01-15,Entity_444,Promoter,Sell,5608.94
BAJFINANCE,2022-01-15,Entity_888,Director,Buy,2263.45
MPHASIS,2022-01-16,Entity_337,DII,Sell,650.48
PIDILITIND,2022-01-16,Entity_949,Promoter,Sell,2679.53
BAJAJFINSV,2022-01-17,Entity_130,DII,Sell,187.61
HINDUNILVR,2022-01-17,Entity_712,Director,Sell,155.12
CIPLA,2022-01-18,Entity_184,DII,Buy,9978.14
DABUR,2022-01-19,Entity_834,DII,Sell,5.78
BANDHANBNK,2022-01-19,Entity_956,Promoter,Buy,2885.66
ADANIPORTS,2022-01-19,Entity_799,KMP,Sell,2901.28
HDFCBANK,2022-01-20,Entity_960,FII,Sell,14654.37
BAJAJFINSV,2022-01-20,Entity_964,Promoter,Sell,763.43
EICHERMOT,2022-01-21,Entity_818,FII,Buy,262.04
COALINDIA,2022-01-21,Entity_344,Director,Sell,1712.07
HINDUNILVR,2022-01-21,Entity_397,FII,Buy,137.77
DRREDDY,2022-01-22,Entity_602,Institutional,Sell,72.77
COFORGE,2022-01-22,Entity_919,Promoter,Buy,419.61
DRREDDY,2022-01-22,Entity_759,Promoter,Sell,14.92
LT,2022-01-23,Entity_130,FII,Sell,282.12
ICICIBANK,2022-01-24,Entity_514,Promoter,Buy,102.38
PERSISTENT,2022-01-25,Entity_957,Promoter,Sell,397.62
BIOCON,2022-01-25,Entity_716,Promoter,Buy,1248.54
KOTAKBANK,2022-01-26,Entity_881,Institutional,Buy,4.04
