date,ticker,sentiment_score,esg_score,sdg_score,composite_score,article_count,confidence,contradiction,low_reliability,is_imputed
2022-01-03,ADANIGREEN,0.0,0.0,1.0,0.25,1.0,0.5,0.0,True,False
2022-01-03,ASIANPAINT,1.0,0.0,0.0,0.4,1.0,1.0,0.0,True,False
2022-01-03,AXISBANK,1.0,0.0,0.0,0.4,2.0,1.0,0.0,False,False
2022-01-03,BAJAJ-AUTO,,,,,,,,,True
2022-01-03,HDFCBANK,1.0,0.0,0.0,0.4,2.0,1.0,0.0,False,False
2022-01-03,HINDUNILVR,0.0,0.0,1.0,0.25,1.0,0.5,0.0,True,False
2022-01-03,ICICIBANK,1.0,0.0,0.0,0.4,2.0,1.0,0.0,False,False
2022-01-03,ITC,1.0,0.0,0.0,0.4,1.0,1.0,0.0,True,False
2022-01-03,KOTAKBANK,1.0,0.0,0.0,0.4,2.0,1.0,0.0,False,False
2022-01-03,M&M,0.0,0.0,0.0,0.0,1.0,0.5,0.0,True,False
2022-01-03,MARUTI,0.0,0.0,0.0,0.0,1.0,0.5,0.0,True,False
2022-01-03,NTPC,,,,,,,,,True
2022-01-03,ONGC,,,,,,,,,True
2022-01-03,POWERGRID,,,,,,,,,True
2022-01-03,RELIANCE,,,,,,,,,True
2022-01-03,SBIN,1.0,0.0,0.0,0.4,2.0,1.0,0.0,False,False
2022-01-03,TATAMOTORS,,,,,,,,,True
2022-01-03,TCS,,,,,,,,,True
2022-01-03,WIPRO,,,,,,,,,True
2022-01-03,CIPLA,1.0,0.5,0.0,0.575,2.0,1.0,0.0,False,False
2022-01-03,INFY,0.0,0.0,1.0,0.25,1.0,0.5,0.0,True,False
2022-01-03,DRREDDY,,,,,,,,,True
2022-01-03,HCLTECH,,,,,,,,,True
2022-01-03,TECHM,,,,,,,,,True
2022-01-03,SUNPHARMA,,,,,,,,,True
2022-01-04,ADANIGREEN,0.0,0.0,1.0,0.25,,,,,True
2022-01-04,ASIANPAINT,1.0,0.0,0.0,0.4,,,,,True
2022-01-04,AXISBANK,0.0,0.0,1.0,0.25,1.0,0.5,0.0,True,False
2022-01-04,BAJAJ-AUTO,,,,,,,,,True
2022-01-04,HDFCBANK,0.0,0.0,1.0,0.25,1.0,0.5,0.0,True,False
2022-01-04,HINDUNILVR,0.0,0.0,1.0,0.25,,,,,True
2022-01-04,ICICIBANK,1.0,0.0,0.0,0.4,,,,,True
2022-01-04,ITC,0.0,0.0,1.0,0.25,1.0,0.5,0.0,True,False
2022-01-04,KOTAKBANK,1.0,0.0,0.0,0.4,,,,,True
2022-01-04,M&M,0.0,0.0,0.0,0.0,,,,,True
2022-01-04,MARUTI,0.0,0.0,0.0,0.0,,,,,True
