month_end,model,return_21d,return_ann,volatility,n_stocks
2022-03-31,Ridge,0.015908,0.208517,0.15702,10
2022-03-31,LASSO,0.012931,0.166702,0.156046,10
2022-03-31,RandomForest,0.081242,1.553144,0.166224,10
2022-03-31,GradientBoosting,0.077387,1.446026,0.155729,10
2022-03-31,MLP,0.030985,0.442205,0.176855,10
2022-03-31,Ensemble,0.035448,0.518941,0.15701,10
2022-03-31,EqualWeight,0.055996,0.922859,0.186889,6
2022-03-31,SentimentOnly,0.028779,0.405614,0.147328,10
2022-04-30,Ridge,-0.017633,-0.192239,0.135482,10
2022-04-30,LASSO,-0.026759,-0.277822,0.167551,10
2022-04-30,RandomForest,-0.041357,-0.3976,0.185606,10
2022-04-30,GradientBoosting,-0.046078,-0.432251,0.226774,10
2022-04-30,MLP,0.000103,0.001235,0.164283,10
2022-04-30,Ensemble,0.006053,0.075106,0.156059,10
2022-04-30,EqualWeight,-0.049661,-0.457318,0.223857,6
2022-04-30,SentimentOnly,-0.02623,-0.273101,0.219312,10
2022-05-31,Ridge,-0.035785,-0.354217,0.188535,10
2022-05-31,LASSO,-0.04558,-0.428689,0.19089,10
2022-05-31,RandomForest,-0.032144,-0.324342,0.176512,10
2022-05-31,GradientBoosting,-0.032966,-0.331194,0.186301,10
2022-05-31,MLP,-0.004772,-0.055781,0.180825,10
2022-05-31,Ensemble,-0.01912,-0.206789,0.179193,10
2022-05-31,EqualWeight,-0.062052,-0.536398,0.236187,6
2022-05-31,SentimentOnly,-0.0391,-0.380361,0.194967,10
2022-06-30,Ridge,0.04519,0.699577,0.114491,10
2022-06-30,LASSO,0.069894,1.249526,0.121962,10
2022-06-30,RandomForest,0.053601,0.871163,0.112638,10
2022-06-30,GradientBoosting,0.032491,0.467688,0.140875,10
2022-06-30,MLP,0.054251,0.885081,0.114132,10
2022-06-30,Ensemble,0.0502,0.799956,0.112337,10
2022-06-30,EqualWeight,0.099908,2.135293,0.129399,6
2022-06-30,SentimentOnly,0.07584,1.40422,0.118775,10
2022-07-31,Ridge,0.033113,0.478342,0.113564,10
2022-07-31,LASSO,0.034298,0.498815,0.114915,10
2022-07-31,RandomForest,0.020653,0.278022,0.105665,10
2022-07-31,GradientBoosting,0.032024,0.459754,0.107011,10
2022-07-31,MLP,0.037447,0.554494,0.105532,10
