month_end,ticker,weight,tier
2022-03-31,HDFCBANK,0.0,NEUTRAL
2022-03-31,ICICIBANK,0.1,NEUTRAL
2022-03-31,SBIN,0.1,NEUTRAL
2022-03-31,KOTAKBANK,0.1,NEUTRAL
2022-03-31,TCS,0.0,NEUTRAL
2022-03-31,INFY,0.1,LONG
2022-03-31,WIPRO,0.0,LONG
2022-03-31,TECHM,0.1,NEUTRAL
2022-03-31,RELIANCE,0.1,NEUTRAL
2022-03-31,ONGC,0.1,NEUTRAL
2022-03-31,NTPC,0.0,LONG
2022-03-31,POWERGRID,0.0,NEUTRAL
2022-03-31,ADANIGREEN,0.1,LONG
2022-03-31,MARUTI,0.0,NEUTRAL
2022-03-31,BAJAJ-AUTO,0.1,LONG
2022-03-31,CIPLA,0.0,LONG
2022-03-31,HINDUNILVR,0.0,NEUTRAL
2022-03-31,ITC,0.1,NEUTRAL
2022-04-30,HDFCBANK,0.1,NEUTRAL
2022-04-30,ICICIBANK,0.0,NEUTRAL
2022-04-30,KOTAKBANK,0.1,NEUTRAL
2022-04-30,TCS,0.0,NEUTRAL
2022-04-30,INFY,0.0,LONG
2022-04-30,WIPRO,0.0,LONG
2022-04-30,HCLTECH,0.0,NEUTRAL
2022-04-30,RELIANCE,0.1,LONG
2022-04-30,ONGC,0.1,LONG
2022-04-30,NTPC,0.0,LONG
2022-04-30,POWERGRID,0.1,NEUTRAL
2022-04-30,ADANIGREEN,0.0,NEUTRAL
2022-04-30,TATAMOTORS,0.1,NEUTRAL
2022-04-30,MARUTI,0.1,NEUTRAL
2022-04-30,SUNPHARMA,0.1,LONG
2022-04-30,DRREDDY,0.1,NEUTRAL
2022-04-30,ASIANPAINT,0.0,NEUTRAL
2022-04-30,HINDUNILVR,0.1,NEUTRAL
2022-05-31,HDFCBANK,0.0,NEUTRAL
2022-05-31,ICICIBANK,0.1,NEUTRAL
2022-05-31,AXISBANK,0.0,NEUTRAL
2022-05-31,TCS,0.0,LONG
2022-05-31,INFY,0.0,LONG
2022-05-31,WIPRO,0.0,LONG
2022-05-31,RELIANCE,0.1,LONG
2022-05-31,ONGC,0.1,NEUTRAL
2022-05-31,NTPC,0.0,LONG
2022-05-31,ADANIGREEN,0.1,LONG
2022-05-31,TATAMOTORS,0.1,NEUTRAL
2022-05-31,MARUTI,0.1,NEUTRAL
